datakey,unit_id,cluster_gmm
dynamic28188-19-9-Fluorescence-7b721b-v4a,1866,49
dynamic28188-19-9-Fluorescence-7b721b-v4a,1896,33
dynamic28188-19-9-Fluorescence-7b721b-v4a,1911,31
dynamic28188-19-9-Fluorescence-7b721b-v4a,1915,17
dynamic28188-19-9-Fluorescence-7b721b-v4a,1942,33
dynamic28188-19-9-Fluorescence-7b721b-v4a,1947,17
dynamic28188-19-9-Fluorescence-7b721b-v4a,1955,17
dynamic28188-19-9-Fluorescence-7b721b-v4a,1968,17
dynamic28188-19-9-Fluorescence-7b721b-v4a,2016,32
dynamic28188-19-9-Fluorescence-7b721b-v4a,2026,31
dynamic28188-19-9-Fluorescence-7b721b-v4a,2031,17
dynamic28188-19-9-Fluorescence-7b721b-v4a,2037,21
dynamic28188-19-9-Fluorescence-7b721b-v4a,2047,32
dynamic28188-19-9-Fluorescence-7b721b-v4a,2065,33
dynamic28188-19-9-Fluorescence-7b721b-v4a,2078,10
dynamic28188-19-9-Fluorescence-7b721b-v4a,2092,21
dynamic28188-19-9-Fluorescence-7b721b-v4a,2103,17
dynamic28188-19-9-Fluorescence-7b721b-v4a,2109,33
dynamic28188-19-9-Fluorescence-7b721b-v4a,2112,33
dynamic28188-19-9-Fluorescence-7b721b-v4a,2113,32
dynamic28188-19-9-Fluorescence-7b721b-v4a,2115,31
dynamic28188-19-9-Fluorescence-7b721b-v4a,2118,33
dynamic28188-19-9-Fluorescence-7b721b-v4a,2119,33
dynamic28188-19-9-Fluorescence-7b721b-v4a,2120,33
dynamic28188-19-9-Fluorescence-7b721b-v4a,2121,33
dynamic28188-19-9-Fluorescence-7b721b-v4a,2122,10
dynamic28188-19-9-Fluorescence-7b721b-v4a,2125,33
dynamic28188-19-9-Fluorescence-7b721b-v4a,2126,10
dynamic28188-19-9-Fluorescence-7b721b-v4a,2127,31
dynamic28188-19-9-Fluorescence-7b721b-v4a,2130,33
dynamic28188-19-9-Fluorescence-7b721b-v4a,2133,42
dynamic28188-19-9-Fluorescence-7b721b-v4a,2356,33
dynamic28188-19-9-Fluorescence-7b721b-v4a,2603,33
dynamic28188-19-9-Fluorescence-7b721b-v4a,2965,9
dynamic28188-19-9-Fluorescence-7b721b-v4a,3137,9
dynamic28188-19-9-Fluorescence-7b721b-v4a,3613,49
dynamic28188-19-9-Fluorescence-7b721b-v4a,3659,9
dynamic28188-19-9-Fluorescence-7b721b-v4a,3685,33
dynamic28188-19-9-Fluorescence-7b721b-v4a,3826,17
dynamic28188-19-9-Fluorescence-7b721b-v4a,4122,32
dynamic28188-19-9-Fluorescence-7b721b-v4a,4134,42
dynamic28188-19-9-Fluorescence-7b721b-v4a,4172,33
dynamic28188-19-9-Fluorescence-7b721b-v4a,4173,21
dynamic28188-19-9-Fluorescence-7b721b-v4a,4174,32
dynamic28188-19-9-Fluorescence-7b721b-v4a,4175,33
dynamic28188-19-9-Fluorescence-7b721b-v4a,4177,33
dynamic28188-19-9-Fluorescence-7b721b-v4a,4178,32
dynamic28188-19-9-Fluorescence-7b721b-v4a,4179,33
dynamic28188-19-9-Fluorescence-7b721b-v4a,4209,33
dynamic28188-19-9-Fluorescence-7b721b-v4a,4210,33
dynamic28188-19-9-Fluorescence-7b721b-v4a,4223,32
dynamic28188-19-9-Fluorescence-7b721b-v4a,4224,21
dynamic28188-19-9-Fluorescence-7b721b-v4a,4225,43
dynamic28188-19-9-Fluorescence-7b721b-v4a,4226,33
dynamic28188-19-9-Fluorescence-7b721b-v4a,4264,42
dynamic28188-19-9-Fluorescence-7b721b-v4a,4273,35
dynamic28188-19-9-Fluorescence-7b721b-v4a,4296,31
dynamic28188-19-9-Fluorescence-7b721b-v4a,4352,32
dynamic28188-19-9-Fluorescence-7b721b-v4a,4358,42
dynamic28188-19-9-Fluorescence-7b721b-v4a,4366,45
dynamic28188-19-9-Fluorescence-7b721b-v4a,4879,17
dynamic28188-19-9-Fluorescence-7b721b-v4a,4987,33
dynamic28188-19-9-Fluorescence-7b721b-v4a,4988,33
dynamic28188-19-9-Fluorescence-7b721b-v4a,4996,42
dynamic28188-19-9-Fluorescence-7b721b-v4a,5014,35
dynamic28188-19-9-Fluorescence-7b721b-v4a,5016,33
dynamic28188-19-9-Fluorescence-7b721b-v4a,5033,21
dynamic28188-19-9-Fluorescence-7b721b-v4a,5076,33
dynamic28188-19-9-Fluorescence-7b721b-v4a,5159,35
dynamic28188-19-9-Fluorescence-7b721b-v4a,5163,35
dynamic28188-19-9-Fluorescence-7b721b-v4a,5186,32
dynamic28188-19-9-Fluorescence-7b721b-v4a,5237,35
dynamic28188-19-9-Fluorescence-7b721b-v4a,5251,33
dynamic28188-19-9-Fluorescence-7b721b-v4a,5260,32
dynamic28188-19-9-Fluorescence-7b721b-v4a,5266,33
dynamic28188-19-9-Fluorescence-7b721b-v4a,5267,33
dynamic28188-19-9-Fluorescence-7b721b-v4a,5269,33
dynamic28188-19-9-Fluorescence-7b721b-v4a,5270,33
dynamic28188-19-9-Fluorescence-7b721b-v4a,5271,21
dynamic28188-19-9-Fluorescence-7b721b-v4a,5292,17
dynamic28188-19-9-Fluorescence-7b721b-v4a,5379,17
dynamic28188-19-9-Fluorescence-7b721b-v4a,5434,17
dynamic28188-19-9-Fluorescence-7b721b-v4a,5436,17
dynamic28188-19-9-Fluorescence-7b721b-v4a,5473,33
dynamic28188-19-9-Fluorescence-7b721b-v4a,5601,33
dynamic28188-19-9-Fluorescence-7b721b-v4a,5707,33
dynamic28188-19-9-Fluorescence-7b721b-v4a,5833,31
dynamic28188-19-9-Fluorescence-7b721b-v4a,6052,17
dynamic28188-19-9-Fluorescence-7b721b-v4a,6119,17
dynamic28188-19-9-Fluorescence-7b721b-v4a,6171,10
dynamic28188-19-9-Fluorescence-7b721b-v4a,6175,10
dynamic28188-19-9-Fluorescence-7b721b-v4a,6176,10
dynamic28188-19-9-Fluorescence-7b721b-v4a,6228,13
dynamic28188-19-9-Fluorescence-7b721b-v4a,6279,10
dynamic28188-19-9-Fluorescence-7b721b-v4a,6294,33
dynamic28188-19-9-Fluorescence-7b721b-v4a,6295,42
dynamic28188-19-9-Fluorescence-7b721b-v4a,6301,33
dynamic28188-19-9-Fluorescence-7b721b-v4a,6317,33
dynamic28188-19-9-Fluorescence-7b721b-v4a,6318,33
dynamic28188-19-9-Fluorescence-7b721b-v4a,6321,32
dynamic28188-19-9-Fluorescence-7b721b-v4a,6338,43
dynamic28188-19-9-Fluorescence-7b721b-v4a,6351,33
dynamic28188-19-9-Fluorescence-7b721b-v4a,6362,10
dynamic28188-19-9-Fluorescence-7b721b-v4a,6394,17
dynamic28188-19-9-Fluorescence-7b721b-v4a,6402,10
dynamic28188-19-9-Fluorescence-7b721b-v4a,6411,13
dynamic28188-19-9-Fluorescence-7b721b-v4a,6413,49
dynamic28188-19-9-Fluorescence-7b721b-v4a,6416,35
dynamic28188-19-9-Fluorescence-7b721b-v4a,6418,33
dynamic28188-19-9-Fluorescence-7b721b-v4a,6498,13
dynamic28188-19-9-Fluorescence-7b721b-v4a,6522,10
dynamic28188-19-9-Fluorescence-7b721b-v4a,6595,49
dynamic28188-19-9-Fluorescence-7b721b-v4a,6645,17
dynamic28188-19-9-Fluorescence-7b721b-v4a,6705,49
dynamic28188-19-9-Fluorescence-7b721b-v4a,6709,33
dynamic28188-19-9-Fluorescence-7b721b-v4a,6749,49
dynamic28188-19-9-Fluorescence-7b721b-v4a,6750,10
dynamic28188-19-9-Fluorescence-7b721b-v4a,6752,10
dynamic28188-19-9-Fluorescence-7b721b-v4a,6756,42
dynamic28188-19-9-Fluorescence-7b721b-v4a,6759,49
dynamic28712-3-8-Fluorescence-7b721b-v4a,10,17
dynamic28712-3-8-Fluorescence-7b721b-v4a,16,28
dynamic28712-3-8-Fluorescence-7b721b-v4a,31,32
dynamic28712-3-8-Fluorescence-7b721b-v4a,48,32
dynamic28712-3-8-Fluorescence-7b721b-v4a,79,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,81,28
dynamic28712-3-8-Fluorescence-7b721b-v4a,97,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,138,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,148,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,154,17
dynamic28712-3-8-Fluorescence-7b721b-v4a,187,31
dynamic28712-3-8-Fluorescence-7b721b-v4a,193,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,240,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,245,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,247,21
dynamic28712-3-8-Fluorescence-7b721b-v4a,249,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,252,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,276,31
dynamic28712-3-8-Fluorescence-7b721b-v4a,286,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,293,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,295,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,304,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,305,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,307,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,310,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,311,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,349,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,354,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,365,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,368,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,369,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,371,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,402,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,405,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,406,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,416,3
dynamic28712-3-8-Fluorescence-7b721b-v4a,418,3
dynamic28712-3-8-Fluorescence-7b721b-v4a,438,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,439,28
dynamic28712-3-8-Fluorescence-7b721b-v4a,440,21
dynamic28712-3-8-Fluorescence-7b721b-v4a,442,21
dynamic28712-3-8-Fluorescence-7b721b-v4a,449,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,452,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,454,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,455,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,456,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,459,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,460,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,463,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,470,3
dynamic28712-3-8-Fluorescence-7b721b-v4a,502,28
dynamic28712-3-8-Fluorescence-7b721b-v4a,506,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,512,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,515,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,553,21
dynamic28712-3-8-Fluorescence-7b721b-v4a,555,21
dynamic28712-3-8-Fluorescence-7b721b-v4a,557,28
dynamic28712-3-8-Fluorescence-7b721b-v4a,558,21
dynamic28712-3-8-Fluorescence-7b721b-v4a,562,0
dynamic28712-3-8-Fluorescence-7b721b-v4a,568,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,573,49
dynamic28712-3-8-Fluorescence-7b721b-v4a,578,3
dynamic28712-3-8-Fluorescence-7b721b-v4a,593,0
dynamic28712-3-8-Fluorescence-7b721b-v4a,597,21
dynamic28712-3-8-Fluorescence-7b721b-v4a,599,21
dynamic28712-3-8-Fluorescence-7b721b-v4a,600,21
dynamic28712-3-8-Fluorescence-7b721b-v4a,610,21
dynamic28712-3-8-Fluorescence-7b721b-v4a,612,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,619,25
dynamic28712-3-8-Fluorescence-7b721b-v4a,747,42
dynamic28712-3-8-Fluorescence-7b721b-v4a,785,43
dynamic28712-3-8-Fluorescence-7b721b-v4a,844,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,845,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,851,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,852,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,856,29
